ada	Ada
assembly	Assembly
ballerina	Ballerina
c	C
csharp	C#
clojure	Clojure
cobol	COBOL
common-lisp	Common Lisp
cpp	C++
crystal	Crystal
d	D
dart	Dart
elixir	Elixir
elm	Elm
erlang	Erlang
forth	Forth
fsharp	F#
gleam	Gleam
go	Go
grain	Grain
groovy	Groovy
haskell	Haskell
haxe	Haxe
java	Java
javascript	JavaScript
julia	Julia
kotlin	Kotlin
lua	Lua
nim	Nim
ocaml	OCaml
perl	Perl
php	PHP
prolog	Prolog
purescript	PureScript
python	Python
r	R
racket	Racket
raku	Raku
rescript	ReScript
rexx	REXX
ruby	Ruby
rust	Rust
scala	Scala
scheme	Scheme
swift	Swift
tcl-tk	Tcl/Tk
typescript	TypeScript
v	V
vala	Vala
zig	Zig
